Year,Quarter,Month,Day,Total Sales
2015,Qtr 3,September,22,210.13
2015,Qtr 3,September,23,519.983
2015,Qtr 3,September,24,211.96
2015,Qtr 3,September,25,14.576
2015,Qtr 3,September,26,1060.68
2015,Qtr 3,September,27,685.9
2015,Qtr 3,September,29,4141.078
2015,Qtr 3,September,30,43.176
2015,Qtr 4,October,1,4.71
2015,Qtr 4,October,2,598.144
2015,Qtr 4,October,3,265.784
2015,Qtr 4,October,4,139.338
2015,Qtr 4,October,5,99.98
2015,Qtr 4,October,6,9.09
2015,Qtr 4,October,9,160.592
2015,Qtr 4,October,10,440.354
2015,Qtr 4,October,11,881.598
2015,Qtr 4,October,12,36.29
2015,Qtr 4,October,13,1549.77
2015,Qtr 4,October,16,194.322
2015,Qtr 4,October,18,63.304
2015,Qtr 4,October,19,641.104
2015,Qtr 4,October,21,36.36
2015,Qtr 4,October,24,34.272
2015,Qtr 4,October,25,49.408
2015,Qtr 4,October,26,447.88
2015,Qtr 4,October,28,1252.602
2015,Qtr 4,October,31,1823.856
2015,Qtr 4,November,1,2692.84
2015,Qtr 4,November,2,504.036
2015,Qtr 4,November,3,6.72
2015,Qtr 4,November,4,1767.696
2015,Qtr 4,November,5,20.04
2015,Qtr 4,November,7,123.144
2015,Qtr 4,November,8,333.576
2015,Qtr 4,November,9,1517.574
2015,Qtr 4,November,10,807.686
2015,Qtr 4,November,11,4176.746
2015,Qtr 4,November,12,641.024
2015,Qtr 4,November,15,813.99
2015,Qtr 4,November,16,736.0725
2015,Qtr 4,November,17,1075.37
2015,Qtr 4,November,18,1071.508
2015,Qtr 4,November,19,166.44
2015,Qtr 4,November,21,114.53
2015,Qtr 4,November,22,53.82
2015,Qtr 4,November,23,1060.662
2015,Qtr 4,November,24,993.908
2015,Qtr 4,November,25,1695.24
2015,Qtr 4,November,26,1272.06
2015,Qtr 4,November,28,643.702
2015,Qtr 4,November,29,606.32
2015,Qtr 4,November,30,150.232
2015,Qtr 4,December,1,58.2
2015,Qtr 4,December,5,1621.832
2015,Qtr 4,December,6,1590.244
2015,Qtr 4,December,7,442.88
2015,Qtr 4,December,8,1034.704
2015,Qtr 4,December,9,135.384
2015,Qtr 4,December,10,455.632
2015,Qtr 4,December,12,4704.5405
2015,Qtr 4,December,13,183.414
2015,Qtr 4,December,15,6.16
2015,Qtr 4,December,16,2712.116
2015,Qtr 4,December,19,832.138
2015,Qtr 4,December,20,1770.192
2015,Qtr 4,December,21,1897.92
2015,Qtr 4,December,22,11.76
2015,Qtr 4,December,24,1910.274
2015,Qtr 4,December,26,870.662
2015,Qtr 4,December,27,1308.79
2015,Qtr 4,December,29,1831.664
2015,Qtr 4,December,30,551.985
2015,Qtr 4,December,31,475.944
2016,Qtr 1,January,5,205.104
2016,Qtr 1,January,6,31.538
2016,Qtr 1,January,13,612.458
2016,Qtr 1,January,23,43.66
2016,Qtr 1,January,26,182.72
2016,Qtr 1,January,27,2803.92
2016,Qtr 1,January,30,2147.336
2016,Qtr 1,February,3,149.064
2016,Qtr 1,February,6,5.28
2016,Qtr 1,February,9,203.92
2016,Qtr 1,February,15,627.48
2016,Qtr 1,February,16,124.55
2016,Qtr 1,February,18,105.844
2016,Qtr 1,February,21,49.12
2016,Qtr 1,February,27,538.92
2016,Qtr 1,March,1,200.736
2016,Qtr 1,March,2,787.53
2016,Qtr 1,March,6,1555.244
2016,Qtr 1,March,8,3.408
2016,Qtr 1,March,13,1384.856
2016,Qtr 1,March,14,19.44
2016,Qtr 1,March,15,16.776
2016,Qtr 1,March,16,215.09
2016,Qtr 1,March,19,5189.394
2016,Qtr 1,March,20,29.304
2016,Qtr 1,March,22,1701.44
2016,Qtr 1,March,23,466.05
2016,Qtr 1,March,24,46.9
2016,Qtr 1,March,27,83.7
2016,Qtr 1,March,28,199.64
2016,Qtr 1,March,29,368.96
2016,Qtr 2,April,2,159.776
2016,Qtr 2,April,5,1156.004
2016,Qtr 2,April,9,369.912
2016,Qtr 2,April,10,12.832
2016,Qtr 2,April,11,692.728
2016,Qtr 2,April,13,2113.92
2016,Qtr 2,April,14,35.208
2016,Qtr 2,April,17,2572.5
2016,Qtr 2,April,18,1124.57
2016,Qtr 2,April,22,152.916
2016,Qtr 2,April,25,35.284
2016,Qtr 2,April,26,485.784
2016,Qtr 2,April,27,49.4
2016,Qtr 2,April,30,54.45
2016,Qtr 2,May,1,173.308
2016,Qtr 2,May,3,1140.572
2016,Qtr 2,May,8,5.248
2016,Qtr 2,May,10,46.688
2016,Qtr 2,May,11,191.968
2016,Qtr 2,May,12,254.696
2016,Qtr 2,May,14,2570.7075
2016,Qtr 2,May,18,10.86
